"Story","Title","Result","Date","Stability","Duration (s)"
"Ingresar al Portal Web demoblaze.com","Ingresar a la pagina y ingresar un producto al carro y eliminarlo","SUCCESS","2023-11-18T21:57:57.5720385-05:00[America/Bogota]","0.0","16.7"
"Ingresar al Portal Web demoblaze.com","Ingresar a la pagina y ingresar un producto  al carro de compras","SUCCESS","2023-11-18T21:58:16.3511409-05:00[America/Bogota]","0.0","9.37"
"Ingresar al Portal Web demoblaze.com","Ingresar a la Pagina web y loguear los usuarios","SUCCESS","2023-11-18T22:02:17.2247797-05:00[America/Bogota]","0.0","16.83"
"Ingresar al Portal Web demoblaze.com","Ingresar a la Pagina sesion About dar Play al video y cerrar","SUCCESS","2023-11-18T22:11:02.6048244-05:00[America/Bogota]","0.0","10.45"
"Ingresar al Portal Web demoblaze.com","Ingresar a la Pagina web y registrar los usuarios","SUCCESS","2023-11-18T21:59:56.7072241-05:00[America/Bogota]","0.0","25.31"
