"Story","Title","Result","Date","Stability","Duration (s)"
"Ingresar al Portal Web demoblaze.com","Ingresar a la pagina y ingresar un producto al carro y eliminarlo","SUCCESS","2023-11-19T11:51:11.5854213-05:00[America/Bogota]","0.0","18.61"
"Ingresar al Portal Web demoblaze.com","Ingresar a la pagina y ingresar un producto  al carro de compras","SUCCESS","2023-11-19T11:40:06.1905138-05:00[America/Bogota]","0.0","11.5"
"Ingresar al Portal Web demoblaze.com","Ingresar a la Pagina web y loguear los usuarios","SUCCESS","2023-11-19T11:40:19.5510148-05:00[America/Bogota]","0.0","11.91"
"Ingresar al Portal Web demoblaze.com","Ingresar a la Pagina sesion About dar Play al video y cerrar","SUCCESS","2023-11-19T11:40:31.6950697-05:00[America/Bogota]","0.0","12.47"
"Ingresar al Portal Web demoblaze.com","Ingresar a la pagina y registrar un Pedido","SUCCESS","2023-11-24T21:08:56.7313308-05:00[America/Bogota]","0.0","33.54"
"Ingresar al Portal Web demoblaze.com","Ingresar a la Pagina web y registrar los usuarios","SUCCESS","2023-11-19T11:41:27.5767327-05:00[America/Bogota]","0.0","61.17"
